date,store,category,product,unit_price,qty,revenue,member_type
2025-01-03,朝阳店,食品,大米5kg,45.00,120,5400.00,金卡
2025-01-03,朝阳店,饮料,可乐330ml,3.50,350,1225.00,普通
2025-01-05,朝阳店,食品,食用油5L,89.90,85,7641.50,金卡
2025-01-08,海淀店,日用品,洗衣液3kg,29.90,200,5980.00,银卡
2025-01-08,海淀店,食品,大米5kg,45.00,95,4275.00,普通
2025-01-10,朝阳店,饮料,矿泉水550ml,2.00,500,1000.00,普通
2025-01-12,海淀店,食品,食用油5L,89.90,72,6472.80,银卡
2025-01-15,朝阳店,日用品,纸巾12卷,19.90,180,3582.00,普通
2025-01-15,海淀店,饮料,可乐330ml,3.50,280,980.00,普通
2025-01-18,朝阳店,食品,面粉5kg,28.50,65,1852.50,金卡
2025-01-20,海淀店,食品,大米5kg,45.00,110,4950.00,普通
2025-01-22,朝阳店,饮料,矿泉水550ml,2.00,620,1240.00,普通
2025-01-25,海淀店,日用品,洗衣液3kg,29.90,150,4485.00,银卡
2025-01-28,朝阳店,食品,食用油5L,89.90,55,4944.50,普卡
2025-02-01,海淀店,食品,面粉5kg,28.50,80,2280.00,普通
2025-02-03,朝阳店,日用品,纸巾12卷,19.90,210,4179.00,金卡
2025-02-05,,食品,大米5kg,45.00,90,,金卡
2025-02-08,海淀店,饮料,可乐330ml,3.50,300,1050.00,普通
2025-02-10,朝阳店,食品,食用油5L,89.90,60,5394.00,普卡
2025-02-12,海淀店,食品,大米5kg,45.00,105,4725.00,银卡
2025-02-15,朝阳店,饮料,矿泉水550ml,2.00,580,1160.00,普通
2025-02-18,海淀店,日用品,洗衣液3kg,29.90,0,0.00,银卡
2025-02-20,朝阳店,食品,面粉5kg,28.50,70,1995.00,金卡
2025-02-22,海淀店,食品,食用油5L,89.90,68,6113.20,普通
2025-02-25,朝阳店,日用品,纸巾12卷,19.90,190,3781.00,普通
2025-03-01,海淀店,饮料,可乐330ml,3.50,320,1120.00,普通
2025-03-03,朝阳店,食品,大米5kg,45.00,130,5850.00,金卡
2025-03-05,海淀店,食品,面粉5kg,28.50,75,2137.50,银卡
2025-03-08,朝阳店,饮料,矿泉水550ml,999.00,2,,,,,
2025-03-08,朝阳店,饮料,矿泉水550ml,2.00,15,30.00,普通
2025-03-10,海淀店,日用品,洗衣液3kg,29.90,180,5382.00,银卡
2025-03-12,海淀店,食品,食用油5L,89.90,55,4944.50,普卡
2025-03-15,朝阳店,食品,大米5kg,45.00,115,5175.00,金卡
2025-03-18,海淀店,饮料,可乐330ml,3.50,270,945.00,普通
2025-03-20,朝阳店,日用品,纸巾12卷,19.90,200,3980.00,普通
2025-03-22,海淀店,食品,面粉5kg,28.50,85,2422.50,普通
2025-03-25,朝阳店,食品,食用油5L,89.90,62,5573.80,金卡
2025-03-28,海淀店,饮料,矿泉水550ml,2.00,450,900.00,普通
2025-04-01,朝阳店,食品,大米5kg,45.00,140,6300.00,金卡
2025-04-03,海淀店,食品,面粉5kg,28.50,70,1995.00,银卡
2025-04-05,朝阳店,饮料,可乐330ml,3.50,340,1190.00,普通
2025-04-08,海淀店,日用品,洗衣液3kg,29.90,165,4933.50,银卡
2025-04-10,朝阳店,食品,食用油5L,89.90,58,5214.20,普卡
2025-04-12,海淀店,食品,大米5kg,45.00,100,4500.00,普通
2025-04-15,朝阳店,日用品,纸巾12卷,19.90,215,4278.50,金卡
2025-04-18,海淀店,饮料,矿泉水550ml,2.00,490,980.00,普通
2025-04-20,朝阳店,食品,面粉5kg,28.50,60,1710.00,金卡
2025-04-22,海淀店,食品,食用油5L,89.90,52,4674.80,银卡
2025-04-25,朝阳店,饮料,可乐330ml,3.50,310,1085.00,普通
2025-04-28,海淀店,食品,大米5kg,45.00,125,5625.00,银卡
2025-05-01,朝阳店,日用品,洗衣液3kg,29.90,175,5232.50,金卡
2025-05-03,海淀店,食品,面粉5kg,28.50,65,1852.50,普通
